"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO"
"30/06/2025","31,21","31,38","0,54","31,13","31,49"
"27/06/2025","31,35","31,21","-0,79","31,14","31,45"
"26/06/2025","31,32","31,46","0,80","31,31","31,60"
"25/06/2025","31,29","31,21","-0,51","31,21","31,54"
"24/06/2025","33,29","31,37","-1,97","31,14","31,84"
"23/06/2025","n/d","32,00","-2,50","31,81","33,34"
"20/06/2025","32,96","32,82","-0,27","32,63","33,16"
"18/06/2025","32,38","32,91","-0,09","32,49","33,21"
"17/06/2025","32,53","32,94","2,27","32,38","33,09"
"16/06/2025","32,53","32,21","-0,98","32,10","32,63"
"13/06/2025","30,80","32,53","2,46","32,17","33,17"
"12/06/2025","30,80","31,75","2,25","31,38","31,91"
"11/06/2025","29,41","31,05","3,33","30,30","31,16"
"10/06/2025","29,22","30,05","3,02","29,35","30,22"
"09/06/2025","29,22","29,17","-1,55","28,86","29,47"
"06/06/2025","29,50","29,63","0,92","29,36","29,83"
"05/06/2025","30,24","29,36","0,03","29,21","29,64"
"04/06/2025","29,88","29,35","-2,75","29,27","30,45"
"03/06/2025","29,88","30,18","-0,26","29,74","30,30"
"02/06/2025","30,81","30,26","0,58","30,19","30,67"
"30/05/2025","30,65","30,08","-1,09","30,08","30,45"
"29/05/2025","30,83","30,42","-0,60","30,23","30,67"
"28/05/2025","30,69","30,60","-0,32","30,60","30,88"
"27/05/2025","30,63","30,70","0,73","30,54","30,83"
"26/05/2025","30,63","30,47","-0,32","30,32","30,70"
"23/05/2025","30,81","30,57","0,22","30,06","30,57"
"22/05/2025","30,81","30,50","-1,32","30,42","30,62"
"21/05/2025","31,20","30,91","-1,12","30,85","31,54"
"20/05/2025","31,00","31,26","0,41","31,11","31,55"
"19/05/2025","31,00","31,14","-0,12","31,03","31,15"
"16/05/2025","30,86","31,18","0,47","30,82","31,31"
"15/05/2025","30,86","31,03","-0,13","30,76","31,24"
"14/05/2025","30,93","31,07","-0,68","30,86","31,27"
"13/05/2025","31,06","31,28","1,52","30,52","31,40"
"12/05/2025","n/d","30,82","2,39","30,82","31,32"
"09/05/2025","29,78","30,09","0,65","29,83","30,36"
"08/05/2025","29,50","29,90","1,39","29,65","30,21"
"07/05/2025","29,32","29,49","0,46","29,11","29,50"
"06/05/2025","29,76","29,35","1,65","29,17","29,59"
"05/05/2025","29,76","28,88","-3,73","28,88","29,81"
"02/05/2025","29,61","30,00","2,73","29,18","30,00"
"30/04/2025","29,61","29,20","-1,93","29,17","29,77"
"29/04/2025","29,75","29,77","0,59","29,35","30,00"
"28/04/2025","n/d","29,60","-0,39","29,45","29,97"
"25/04/2025","29,54","29,71","0,30","29,45","29,92"
"24/04/2025","30,52","29,63","-0,46","29,27","30,03"
"23/04/2025","30,52","29,76","-1,13","29,70","30,40"
"22/04/2025","n/d","30,10","0,23","29,53","30,43"
"17/04/2025","29,86","30,04","1,92","29,94","30,31"
"16/04/2025","30,17","29,47","0,00","29,33","29,92"
"15/04/2025","30,17","29,47","-2,30","29,45","29,95"
"14/04/2025","30,99","30,17","-0,38","29,89","30,48"
"11/04/2025","29,95","30,28","1,99","30,23","30,71"
"10/04/2025","29,77","29,69","-6,13","29,66","31,39"
"09/04/2025","29,77","31,63","3,97","31,42","31,63"
"08/04/2025","32,04","30,42","-3,56","30,31","31,17"
"07/04/2025","32,25","31,54","-3,97","31,54","31,54"
"04/04/2025","33,03","32,85","-4,03","32,23","32,98"
"03/04/2025","34,37","34,22","-3,23","34,16","34,45"
"02/04/2025","35,46","35,37","-0,27","35,01","35,46"
"01/04/2025","35,51","35,46","0,38","35,37","36,10"
"31/03/2025","35,51","35,33","-0,72","35,25","35,78"
"28/03/2025","35,58","35,58","-0,64","35,26","36,00"
"27/03/2025","35,58","35,81","0,75","35,77","35,83"
"26/03/2025","35,03","35,55","0,94","35,32","35,77"
"25/03/2025","34,89","35,21","0,79","34,82","35,67"
"24/03/2025","34,89","34,94","-0,14","34,71","35,12"
"21/03/2025","34,38","34,99","1,55","34,40","35,19"
"20/03/2025","34,48","34,45","0,22","34,00","34,68"
